Item number,Title,Variation details,Custom label (SKU),Available quantity,Format,Currency,Start price,Auction Buy It Now price,Reserve price,Current price,Sold quantity,Watchers,Bids,Start date,End date,eBay category 1 name,eBay category 1 number,eBay category 2 name,eBay category 2 number,Condition,CD:Professional Grader - (ID: 27501),CD:Grade - (ID: 27502),CDA:Certification Number - (ID: 27503),CD:Card Condition - (ID: 40001),eBay Product ID(ePID),Listing site,P:UPC,P:EAN,P:ISBN
3.56666E+11,Mofusand watch small round macaron watch WH mofusand fieldwork women's watch,,,0,FIXED_PRICE,USD,59.99,,,59.99,0,,,Mar-13-25 22:07:52 PDT,Apr-13-26 22:07:52 PDT,Wristwatches,31387,,,New with box and papers,,,,,,US,Does not apply,,
3.56666E+11,Mofusand watch small round macaron watch PU mofusand fieldwork women's watch,,,0,FIXED_PRICE,USD,59.99,,,59.99,0,,,Mar-13-25 22:07:52 PDT,Apr-13-26 22:07:52 PDT,Wristwatches,31387,,,New with box and papers,,,,,,US,Does not apply,,
3.56666E+11,Mofusand watch small round macaron watch PI mofusand fieldwork women's watch,,,0,FIXED_PRICE,USD,59.99,,,59.99,0,0,,Mar-13-25 22:07:52 PDT,Apr-13-26 22:07:52 PDT,Wristwatches,31387,,,New with box and papers,,,,,,US,Does not apply,,
3.56666E+11,Mofusand watch small round macaron watch GY mofusand fieldwork women's watch,,,0,FIXED_PRICE,USD,73.86,,,73.86,0,,,Mar-13-25 22:07:51 PDT,Apr-13-26 22:07:51 PDT,Wristwatches,31387,,,New with box and papers,,,,,,US,Does not apply,,
3.56666E+11,Mofusand Pocket Watch Strap ? Pink Cat Design by Fieldwork Japan,,,0,FIXED_PRICE,USD,69.99,,,69.99,0,,,Mar-13-25 22:07:52 PDT,Apr-13-26 22:07:52 PDT,Wristwatches,31387,,,New with box and papers,,,,,,US,Does not apply,,
3.56851E+11,CASIO G-SHOCK GD-120CM-5JF Digital Watch Camo Brown Men's Used Japan Military,,,0,FIXED_PRICE,USD,192.99,,,192.99,0,4,,May-02-25 05:16:06 PDT,May-02-26 05:16:06 PDT,Wristwatches,31387,,,Pre-owned - Good,,,,,,US,Does not apply,,
3.56851E+11,CASIO G-SHOCK DW-5600KH Digital Watch Hoefler Powell Used Japan Black Limited,,,0,FIXED_PRICE,USD,192.99,,,192.99,0,,,May-02-25 05:16:06 PDT,May-02-26 05:16:06 PDT,Wristwatches,31387,,,Pre-owned - Good,,,,,,US,Does not apply,,
3.56854E+11,CASIO G-SHOCK DW-5600GU-7 G-UNIVERSE Collab Character Print Watch Japan,,,0,FIXED_PRICE,USD,185.99,,,185.99,0,1,0,May-03-25 00:26:57 PDT,May-03-26 00:26:57 PDT,Wristwatches,31387,,,Pre-owned - Good,,,,,,US,Does not apply,,
3.56854E+11,CASIO G-SHOCK GA-100CF-1A9 Camouflage Dial Black Gold Analog Digital Watch Japan,,,0,FIXED_PRICE,USD,130.99,,,130.99,0,,,May-03-25 00:26:58 PDT,May-03-26 00:26:58 PDT,Wristwatches,31387,,,Pre-owned - Good,,,,,,US,Does not apply,,
3.56854E+11,CASIO G-SHOCK GA-110LPA-1A Men's Digital Analog Watch Shock Resist Black Blue,,,0,FIXED_PRICE,USD,97.99,,,97.99,0,3,,May-03-25 00:26:58 PDT,May-03-26 00:26:58 PDT,Wristwatches,31387,,,Pre-owned - Good,,,,,,US,Does not apply,,
3.5686E+11,CASIO G-SHOCK GA-111DR-7A DEE AND RICKY Tie-Up Limited Edition White Watch Japan,,template,0,FIXED_PRICE,USD,313.98,,,313.98,0,6,,May-04-25 15:25:42 PDT,May-04-26 15:25:42 PDT,Wristwatches,31387,,,Pre-owned - Good,,,,,,US,Does not apply,,
3.56864E+11,CASIO G-SHOCK DW-5600SF-2 We Love Surfing Rainbow Collab Watch 2006 Japan Rare,,,0,FIXED_PRICE,USD,185.99,,,185.99,0,3,,May-05-25 15:19:41 PDT,May-05-26 15:19:41 PDT,Wristwatches,31387,,,Pre-owned - Good,,,,,,US,Does not apply,,
3.56875E+11,CASIO G-SHOCK GD-100TG-1 Hanshin Tigers 2016 Limited Digital Watch Japan NPB,,,0,FIXED_PRICE,USD,163.99,,,163.99,0,3,,May-08-25 16:53:27 PDT,Apr-08-26 16:53:27 PDT,Wristwatches,31387,,,Pre-owned - Good,,,,,,US,Does not apply,,
3.56887E+11,CASIO G-SHOCK DW-6900SK-1 Clear Skeleton Mirror Dial Digital 2019,,,0,FIXED_PRICE,USD,150.99,,,150.99,0,,,May-12-25 03:09:31 PDT,Apr-12-26 03:09:31 PDT,Wristwatches,31387,,,Pre-owned - Good,,,,,,US,Does not apply,,
3.56887E+11,CASIO G-SHOCK GA-100C Degiana Analog Quartz Shock Resist Gray Watch,,,0,FIXED_PRICE,USD,125.99,,,125.99,0,1,,May-12-25 03:09:31 PDT,Apr-12-26 03:09:31 PDT,Wristwatches,31387,,,Pre-owned - Good,,,,,,US,Does not apply,,
3.56887E+11,CASIO G-SHOCK DW-9052-1V 24mm Custom Strap Overseas Model DW-9000 Series,,,0,FIXED_PRICE,USD,125.99,,,125.99,0,3,,May-12-25 03:09:32 PDT,Apr-12-26 03:09:32 PDT,Wristwatches,31387,,,Pre-owned - Good,,,,,,US,Does not apply,,
3.56893E+11,CASIO G-SHOCK GA-100CG-1A Cracked Pattern Big Case Ana-Digi 2016 Release,,,0,FIXED_PRICE,USD,150.99,,,150.99,0,,,May-14-25 01:47:20 PDT,Apr-14-26 01:47:20 PDT,Wristwatches,31387,,,Pre-owned - Good,,,,,,US,Does not apply,,
