ItemID,Title,Category,cost_jpy,actual_price,expected_price,actual_policy,expected_policy,price_diff,reason
357358440216,UNIQLO UT Demon Slayer Akaza Snowflake Tee Blue Movie Mugen ,Tシャツ(UT),1800,69.98,54.98,DDP-C-P07,DDP-C-P06,15.0,price+policy
357358563233,UNIQLO UT Demon Slayer Hashira Tee White Mugen Castle Limite,Tシャツ(UT),1999,74.98,58.98,DDP-C-P06,DDP-C-P06,16.0,price
358381852914,UNIQLO UT Jujutsu Kaisen Gojo Geto Black Graphic Tee Shueish,Tシャツ(UT),1290,74.98,45.98,DDP-C-P05,DDP-C-P05,29.0,price
358382472412,Montbell EX Light Wind Parka 1103285 Ultralight Packable Win,Montbell(重),11000,226.98,186.98,DDP-C-P14,DDP-C-P15,40.0,price+policy
358388897815,[3-Pack] UNIQLO AIRism Deodorant Mesh V-Neck T-Shirt Anti-Od,ユニクロ(非UT),990,103.98,40.98,DDP-C-P08,DDP-C-P05,63.0,price+policy
358389895642,UNIQLO Women AIRism UV Protection Mesh Full-Zip Hoodie UPF50,ユニクロ(非UT),2990,92.98,72.98,DDP-C-P08,DDP-C-P08,20.0,price
358390003755,[5-Pack] UNIQLO MEN AIRism Mesh V-Neck T-Shirt Anti-Odor Qui,ユニクロ(非UT),990,146.98,40.98,DDP-C-P10,DDP-C-P05,106.0,price+policy
358390109249,[5-Pack] UNIQLO MEN AIRism Boxer Briefs Functional Fly Anti-,ユニクロ(非UT),1290,146.98,45.98,DDP-C-P11,DDP-C-P05,101.0,price+policy
358275199203,Montbell Wind Blast Parka Men&apos;s Hooded Lightweight Wind,Montbell(重),8400,185.98,155.98,DDP-C-P13,DDP-C-P13,30.0,price
358276337811,Montbell Wind Blast Parka Women&apos;s Hooded Lightweight Wi,Montbell(重),8000,178.98,149.98,DDP-C-P12,DDP-C-P13,29.0,price+policy
357849150249,UNIQLO Ultra Light Down Compact Vest Lightweight Packable Ja,ユニクロ(非UT),4990,127.98,99.98,DDP-C-P10,DDP-C-P10,28.0,price
358278977272,Montbell Plasma 1000 Down Jacket Men&apos;s 1101493 Ultralig,Montbell(重),27940,502.98,399.98,DDP-C-P22,DDP-C-P22,103.0,price
357401200653,UNIQLO UT Berserk Guts Beast of Darkness Graphic Black Japan,Tシャツ(UT),790,51.98,37.98,DDP-C-P04,DDP-C-P04,14.0,price
356876766464,UNIQLO UT Pokemon T-Shirt Graphic Short Sleeve Tee XL Black ,Tシャツ(UT),1200,54.98,44.98,DDP-C-P06,DDP-C-P05,10.0,price+policy
357448285020,UNIQLO UT Pokemon No.138 Omanyte Ocean Graphic White T-Shirt,Tシャツ(UT),790,73.98,37.98,DDP-C-P04,DDP-C-P04,36.0,price
358214398953,Uniqlo Dragon Ball Z UT T-Shirt Blue Men Size XL Attack of t,ユニクロ(非UT),2000,69.98,56.98,DDP-C-P07,DDP-C-P06,13.0,price+policy
358560181003,GU JoJo&apos;s Bizarre Adventure Part 3 Jotaro Kujo Star Pla,ユニクロ(非UT),1490,62.98,49.98,DDP-C-P05,DDP-C-P05,13.0,price
358560211221,GU JoJo&apos;s Bizarre Adventure Part 3 Jotaro Kujo Gray Bac,ユニクロ(非UT),1490,62.98,49.98,DDP-C-P05,DDP-C-P05,13.0,price
358560219778,GU JoJo&apos;s Bizarre Adventure Part 6 Jolyne Cujoh Dark Gr,ユニクロ(非UT),1490,62.98,49.98,DDP-C-P05,DDP-C-P05,13.0,price
358560227465,GU JoJo&apos;s Bizarre Adventure Part 1 Phantom Blood Logo T,ユニクロ(非UT),1490,62.98,49.98,DDP-C-P05,DDP-C-P05,13.0,price
358560237149,GU JoJo&apos;s Bizarre Adventure Part 7 Gyro Zeppeli Dark Gr,ユニクロ(非UT),1490,62.98,49.98,DDP-C-P05,DDP-C-P05,13.0,price
358560250231,GU Godzilla T-Shirt Black Back Print Mount Fuji Ukiyo-e Kaij,ユニクロ(非UT),1490,62.98,49.98,DDP-C-P05,DDP-C-P05,13.0,price
358560253798,GU Godzilla T-Shirt White Shinjuku Tokyo Kaiju Monster Movie,ユニクロ(非UT),1490,62.98,49.98,DDP-C-P05,DDP-C-P05,13.0,price
358560262232,GU Hiromichi Yokochi Sukajan Dragon T-Shirt Black Back Print,ユニクロ(非UT),1490,62.98,49.98,DDP-C-P05,DDP-C-P05,13.0,price
358560274204,GU Hiromichi Yokochi Sukajan Tiger T-Shirt Dark Gray Japan S,ユニクロ(非UT),1490,62.98,49.98,DDP-C-P05,DDP-C-P05,13.0,price
358561355817,Uniqlo UT One Piece Shueisha 100th Anime T-Shirt Luffy Manga,Tシャツ(UT),1290,74.98,45.98,DDP-C-P05,DDP-C-P05,29.0,price
358561363038,Uniqlo UT Naruto Shueisha 100th Anime T-Shirt Sasuke Sakura ,Tシャツ(UT),1290,74.98,45.98,DDP-C-P05,DDP-C-P05,29.0,price
358561367838,Uniqlo UT Naruto Shueisha 100th Anime T-Shirt Sasuke Uchiha ,Tシャツ(UT),1290,74.98,45.98,DDP-C-P05,DDP-C-P05,29.0,price
358561373545,Uniqlo UT Sakamoto Days Shueisha 100th Anime T-Shirt Taro Na,Tシャツ(UT),1290,74.98,45.98,DDP-C-P05,DDP-C-P05,29.0,price
358561395342,Uniqlo UT Sakamoto Days Shueisha 100th Anime T-Shirt Shin Lu,Tシャツ(UT),1290,74.98,45.98,DDP-C-P05,DDP-C-P05,29.0,price
358561413793,Uniqlo UT Oshi no Ko Shueisha 100th Anime T-Shirt B-Komachi ,Tシャツ(UT),1290,74.98,45.98,DDP-C-P05,DDP-C-P05,29.0,price
358561425877,Uniqlo UT Kaguya-sama Love Is War Shueisha 100th Anime T-Shi,Tシャツ(UT),1290,74.98,45.98,DDP-C-P05,DDP-C-P05,29.0,price
358561432366,Uniqlo UT Chibi Maruko-chan Shueisha 100th Anime T-Shirt Tom,Tシャツ(UT),1290,74.98,45.98,DDP-C-P05,DDP-C-P05,29.0,price
358561440634,Uniqlo UT Chibi Maruko-chan Shueisha 100th Anime T-Shirt Sum,Tシャツ(UT),1290,74.98,45.98,DDP-C-P05,DDP-C-P05,29.0,price
358561458579,Uniqlo UT The Super Mario Galaxy Movie T-Shirt Nintendo Whit,Tシャツ(UT),1290,74.98,45.98,DDP-C-P05,DDP-C-P05,29.0,price
358561465127,Uniqlo UT The Super Mario Galaxy Movie T-Shirt Nintendo Navy,Tシャツ(UT),1290,74.98,45.98,DDP-C-P05,DDP-C-P05,29.0,price
358561475371,Uniqlo UT The Super Mario Galaxy Movie T-Shirt Nintendo Toad,Tシャツ(UT),1290,74.98,45.98,DDP-C-P05,DDP-C-P05,29.0,price
358561479986,Uniqlo UT The Super Mario Galaxy Movie T-Shirt Nintendo Off ,Tシャツ(UT),990,58.98,40.98,DDP-C-P05,DDP-C-P05,18.0,price
358459012221,UNIQLO UT Gundam MS-06 Zaku Anime Graphic T-Shirt Navy Size ,Tシャツ(UT),1100,52.98,42.98,DDP-C-P06,DDP-C-P05,10.0,price+policy
358466694676,UNIQLO UT Dragon Ball Goku Bulma T-Shirt White US XL (JP 2XL,Tシャツ(UT),2500,79.98,64.98,DDP-C-P08,DDP-C-P07,15.0,price+policy
358359272940,UNIQLO UT Pokemon 30th Anniversary Gengar Watercolor Graphic,Tシャツ(UT),1290,74.98,45.98,DDP-C-P05,DDP-C-P05,29.0,price
358359314884,UNIQLO UT Jujutsu Kaisen Gojo Itadori Fushiguro White Tee Sh,Tシャツ(UT),1290,74.98,45.98,DDP-C-P05,DDP-C-P05,29.0,price
358359355028,UNIQLO UT Yu Yu Hakusho Yusuke Kuwabara Black Tee Shueisha 1,Tシャツ(UT),1290,74.98,45.98,DDP-C-P05,DDP-C-P05,29.0,price
358359361455,UNIQLO UT Hunter x Hunter Gon Alluka Black Graphic Tee Shuei,Tシャツ(UT),1290,74.98,45.98,DDP-C-P05,DDP-C-P05,29.0,price
358359468302,UNIQLO UT Yu Yu Hakusho Kurama White Graphic Tee Shueisha 10,Tシャツ(UT),1290,74.98,45.98,DDP-C-P05,DDP-C-P05,29.0,price
358359547093,UNIQLO UT Captain Tsubasa Japan Youth Team Navy Graphic Tee ,Tシャツ(UT),1290,74.98,45.98,DDP-C-P05,DDP-C-P05,29.0,price
358359565422,UNIQLO UT Golden Kamuy Sugimoto Asirpa White Tee Shueisha 10,Tシャツ(UT),990,58.98,40.98,DDP-C-P05,DDP-C-P05,18.0,price
358359569072,UNIQLO UT Golden Kamuy Shiraishi Green Graphic Tee Shueisha ,Tシャツ(UT),990,58.98,40.98,DDP-C-P05,DDP-C-P05,18.0,price
358359572733,UNIQLO UT Kingdom Karyoten Beige Pocket Graphic Tee Shueisha,Tシャツ(UT),1290,74.98,45.98,DDP-C-P05,DDP-C-P05,29.0,price
358359585353,Uniqlo UT One Piece Shueisha 100th Anime T-Shirt Luffy Straw,Tシャツ(UT),1290,74.98,45.98,DDP-C-P05,DDP-C-P05,29.0,price
358364933713,UNIQLO UT Pokemon 30th Anniversary Bulbasaur Charmander Squi,Tシャツ(UT),1290,74.98,45.98,DDP-C-P05,DDP-C-P05,29.0,price
358364940197,UNIQLO UT Pokemon 30th Anniversary Charizard Logo Graphic Te,Tシャツ(UT),990,58.98,40.98,DDP-C-P05,DDP-C-P05,18.0,price
358364949065,UNIQLO UT Pokemon 30th Anniversary Pikachu Gotta Catch Em Al,Tシャツ(UT),1290,74.98,45.98,DDP-C-P05,DDP-C-P05,29.0,price
358364956131,UNIQLO UT Pokemon 30th Anniversary Snorlax Woke Up Graphic T,Tシャツ(UT),1290,74.98,45.98,DDP-C-P05,DDP-C-P05,29.0,price
358589321321,GU Pokemon Graphic T-Shirt Striped Off White Pokeball Ninten,ユニクロ(非UT),1490,60.98,49.98,DDP-C-P07,DDP-C-P05,11.0,price+policy
358589325206,GU Pokemon Graphic T-Shirt Gotta Catch &apos;Em All White Ni,ユニクロ(非UT),1490,60.98,49.98,DDP-C-P07,DDP-C-P05,11.0,price+policy
358589341204,GU Pokemon Graphic T-Shirt Slowpoke Red Embroidered Logo Nin,ユニクロ(非UT),1490,60.98,49.98,DDP-C-P07,DDP-C-P05,11.0,price+policy
