日付,検索条件,タイトル,メルカリ価格,メルカリURL,eBay中央値,eBay出品数,判定,推奨出品価格
2026-04-13,cat:1409 | ¥1000-50000,ワンピース トレーディングカード　 ルフィ＆ナミのセット,1300,https://jp.mercari.com/item/m49381702130,,,UNKNOWN,
2026-04-13,cat:1409 | ¥1000-50000,ワンピースカード 神の島の冒険 エネル SP EB02-052 他,13999,https://jp.mercari.com/item/m10970928400,,,UNKNOWN,
2026-04-13,cat:1409 | ¥1000-50000,ワンピースカードゲーム おナミ 3000,18000,https://jp.mercari.com/item/m30373676879,,,UNKNOWN,
2026-04-13,cat:1409 | ¥1000-50000,ワンピースカード　強大な敵　バラパック　6点セット,1800,https://jp.mercari.com/item/m55386750209,,,UNKNOWN,
2026-04-13,cat:1409 | ¥1000-50000,ONE PIECE CARD GAME RED,7777,https://jp.mercari.com/item/m82827531630,0.99,7946,NOGO,139.54
2026-04-13,cat:1409 | ¥1000-50000,ワンピース、モンキー・D・ルフィ：セブンイレブンタイアップキャンペーン カード,1299,https://jp.mercari.com/item/m58110114812,,,UNKNOWN,
2026-04-13,cat:1409 | ¥1000-50000,ロマンスドーン 頂上決戦 強大な敵 謀略の王国 他4種 バラパック,2500,https://jp.mercari.com/item/m34571114372,,,UNKNOWN,
2026-04-13,cat:1409 | ¥1000-50000,ワンピースカード　スタートデッキ　戦えるかルフィ　パラレル　ボーナスパック　２枚,3999,https://jp.mercari.com/item/m97390034534,,,UNKNOWN,
2026-04-13,cat:1409 | ¥1000-50000,レカフィグ ヤマト ワンピース 応募者全員サービス,2650,https://jp.mercari.com/item/m44713712819,,,UNKNOWN,
2026-04-13,cat:1409 | ¥1000-50000,ボンクレー この時代の名が白ひげだァ クロコダイル パラレル ボーナスパック,2222,https://jp.mercari.com/item/m45282517439,,,UNKNOWN,
2026-04-13,cat:1409 | ¥1000-50000,モスバーガー福袋2025 ワンピースカード、他,9999,https://jp.mercari.com/item/m75496485516,,,UNKNOWN,
2026-04-13,cat:1409 | ¥1000-50000,モンキー・D・ルフィ：セブンイレブンタイアップキャンペーン オリジナルカード …,1299,https://jp.mercari.com/item/m97175119046,,,UNKNOWN,
2026-04-13,cat:1409 | ¥1000-50000,ワンピースカードゲーム Mr.2 ボンクレー（ベンサム） ST30-013 ４枚,2444,https://jp.mercari.com/item/m56090283374,,,UNKNOWN,
2026-04-13,cat:1409 | ¥1000-50000,最強ジャンプ　5月号　応募券4枚　頂上の強者パック ONE PIECE 付録,9999,https://jp.mercari.com/item/m59825787186,,,UNKNOWN,
2026-04-13,cat:1409 | ¥1000-50000,ワンピースカード ルフィ 手配書 受け継がれる意志 OP13-118,19000,https://jp.mercari.com/item/m44502370530,,,UNKNOWN,
2026-04-13,cat:1409 | ¥1000-50000,ONE PIECE フランキー #021 トレーディングカードスタンダードバトル,7500,https://jp.mercari.com/item/m57638988264,,,UNKNOWN,
2026-04-13,cat:1409 | ¥1000-50000,モンキー・D・ルフィ プレミアムカードコレクション ワンピースデイ'25,39800,https://jp.mercari.com/item/m43038314213,,,UNKNOWN,
2026-04-13,cat:1409 | ¥1000-50000,PSA10 PRB01 SANJI ALTERNATE ART サンジ,11200,https://jp.mercari.com/item/m84514309614,,,UNKNOWN,
2026-04-13,cat:1409 | ¥1000-50000,モンキー・D・ルフィ プレミアムカードコレクション ワンピース デイ' 24,28999,https://jp.mercari.com/item/m37539627111,,,UNKNOWN,
2026-04-13,cat:1409 | ¥1000-50000,ONE PIECEカード　ジュエリー・ボニー　リーダーパラレル　PSA10,34998,https://jp.mercari.com/item/m46334636512,,,UNKNOWN,
2026-04-13,cat:1409 | ¥1000-50000,PSA10 たしぎ R フラッグシップ プロモ OP12-031,13000,https://jp.mercari.com/item/m94577486183,,,UNKNOWN,
2026-04-13,cat:1409 | ¥1000-50000,2026 ワンピース MONKEY D. LUFFY PSA 10 1番くじ,20800,https://jp.mercari.com/item/m74614716041,,,UNKNOWN,
2026-04-13,cat:1409 | ¥1000-50000,PSA10【OP06-119】サンジ SEC (パラレル/SP),24000,https://jp.mercari.com/item/m90741970149,,,UNKNOWN,
2026-04-13,cat:1409 | ¥1000-50000,【PSA10】ヤマト SR パラレル OP04-112 ワンピース,8500,https://jp.mercari.com/item/m13142634449,,,UNKNOWN,
2026-04-13,cat:1409 | ¥1000-50000,PSA10】おナミ C [ST18-002](プロモ「8パックバトル 優勝」,25000,https://jp.mercari.com/item/m25950670738,,,UNKNOWN,
2026-04-13,cat:1409 | ¥1000-50000,【PSA10】 ワンピースカードゲーム ヤマト 最強ジャンプ8月号付録 プロモ,8900,https://jp.mercari.com/item/m67600382890,,,UNKNOWN,
2026-04-13,cat:1409 | ¥1000-50000,PSA10 ナミ 007 Film Red プロモ One Piece Nami,12999,https://jp.mercari.com/item/m20002214397,,,UNKNOWN,
2026-04-13,cat:1409 | ¥1000-50000,おナミ psa10 8パックバトル プロモ ワンピースカード ナミ,33000,https://jp.mercari.com/item/m19371561387,,,UNKNOWN,
2026-04-13,cat:1409 | ¥1000-50000,PSA10 ルフィ P-022 Film Red プロモ One Piece,19999,https://jp.mercari.com/item/m15920917826,,,UNKNOWN,
2026-04-13,cat:1409 | ¥1000-50000,2023 ONE PIECE OP05 JP エネル #100,33333,https://jp.mercari.com/item/m55966105220,,,UNKNOWN,
2026-04-13,cat:1409 | ¥1000-50000,2023 ONE PIECE MONKEY D. LUFFY カード,29999,https://jp.mercari.com/item/m93831611954,,,,UNKNOWN,
2026-04-13,cat:1409 | ¥1000-50000,2022 ONE PIECE シャンクス #120 GEM MT,19999,https://jp.mercari.com/item/m86697660279,,,,UNKNOWN,
2026-04-13,cat:1409 | ¥1000-50000,2025 ONE PIECE JP モンキー・D・ルフィカード,38900,https://jp.mercari.com/item/m32622512274,,,,UNKNOWN,
2026-04-13,cat:1409 | ¥1000-50000,ONE PIECE フランキー #021 トレーディングカードスタンダードバトル,7500,https://jp.mercari.com/item/m57638988264,,,,UNKNOWN,
2026-04-13,cat:1409 | ¥1000-50000,モンキー・D・ルフィ プレミアムカードコレクション ワンピースデイ'25,39800,https://jp.mercari.com/item/m43038314213,,,,UNKNOWN,
2026-04-13,cat:1409 | ¥1000-50000,PSA10 PRB01 SANJI ALTERNATE ART サンジ,11200,https://jp.mercari.com/item/m84514309614,,,,UNKNOWN,
2026-04-13,cat:1409 | ¥1000-50000,モンキー・D・ルフィ プレミアムカードコレクション ワンピース デイ' 24,28999,https://jp.mercari.com/item/m37539627111,,,,UNKNOWN,
2026-04-13,cat:1409 | ¥1000-50000,ONE PIECEカード　ジュエリー・ボニー　リーダーパラレル　PSA10,34998,https://jp.mercari.com/item/m46334636512,,,,UNKNOWN,
2026-04-13,cat:1409 | ¥1000-50000,PSA10 たしぎ R フラッグシップ プロモ OP12-031,13000,https://jp.mercari.com/item/m94577486183,,,,UNKNOWN,
2026-04-13,cat:1409 | ¥1000-50000,2026 ワンピース MONKEY D. LUFFY PSA 10 1番くじ,20800,https://jp.mercari.com/item/m74614716041,,,,UNKNOWN,
2026-04-13,cat:1409 | ¥1000-50000,PSA10【OP06-119】サンジ SEC (パラレル/SP),24000,https://jp.mercari.com/item/m90741970149,,,,UNKNOWN,
2026-04-13,cat:1409 | ¥1000-50000,【PSA10】ヤマト SR パラレル OP04-112 ワンピース,8500,https://jp.mercari.com/item/m13142634449,,,,UNKNOWN,
2026-04-13,cat:1409 | ¥1000-50000,PSA10】おナミ C [ST18-002](プロモ「8パックバトル 優勝」,25000,https://jp.mercari.com/item/m25950670738,,,,UNKNOWN,
2026-04-13,cat:1409 | ¥1000-50000,【PSA10】 ワンピースカードゲーム ヤマト 最強ジャンプ8月号付録 プロモ,8900,https://jp.mercari.com/item/m67600382890,,,,UNKNOWN,
2026-04-13,cat:1409 | ¥1000-50000,PSA10 ナミ 007 Film Red プロモ One Piece Nami,12999,https://jp.mercari.com/item/m20002214397,,,,UNKNOWN,
