#,Cert,旧Title,新Title,修正箇所
1,143167373,PSA 10 One Piece TCG #006 Tony Tony Chopper Anniversary Premium Card Collection,PSA 10 One Piece TCG #006 Tony Tony Chopper Anniversary Premium Card Collection,Rarity: (空) → Super Rare / Features: (空) → Super Rare / Cost: 1 → 3 / Power: 1000 → 4000
2,139475683,PSA 10 One Piece TCG Promos #002 O-Nami 8 Packs Battle-Winner Card,PSA 10 One Piece TCG Promo Cards #002 O-Nami 8 Packs Battle-Winner,Set: Promos → Promo Cards / Character: O-Nami 8 Packs Battle-Winner → O-Nami / Rarity: (空) → Common / Features: (空) → Common / Color: Blue → Purple
3,84764404,PSA 10 One Piece TCG Wings of the Captain #022 Yamato Alternate Art Card,PSA 10 One Piece TCG Wings of the Captain #022 Yamato Alternate Art Leader Card,Card Type: Character Card → Leader Card / Character: Yamato Alternate Art → Yamato / Color: Green → Green Yellow
4,93165463,PSA 10 One Piece TCG Wings of the Captain #101 O-Nami Alternate Art Card,PSA 10 One Piece TCG Wings of the Captain #101 O-Nami Alternate Art Card,Character: O-Nami Alternate Art → O-Nami / Rarity: Alternate Art → Rare / Features: Alternate Art → Rare / Color: Blue → Yellow
5,153492186,PSA 10 One Piece TCG Promos #041 Monkey D. Luffy One Piece Day Leader Card,PSA 10 One Piece TCG Promo Cards #041 Monkey D. Luffy One Piece Day,Set: Promos → Promo Cards / Card Type: Leader Card → Character Card / Character: Monkey D. Luffy One Piece Day → Monkey D. Luffy / Rarity: (空) → Promo / Features: (空) → Promo / Color: Red → Purple / Cost: (空) → 10
6,85668011,PSA 10 One Piece TCG Wings of the Captain #001 Uta Alternate Art Leader Card,PSA 10 One Piece TCG Wings of the Captain #001 Uta Alternate Art Leader Card,Character: Uta Alternate Art → Uta / Color: Red → Red Purple / Cost: (空) → 4
7,151301697,PSA 10 One Piece TCG 3rd Anniversary Set #039 Luffy/King of Pirates Card,PSA 10 One Piece TCG 3rd Anniversary Set #039 Luffy/King of Pirates Leader Card,Card Type: (空) → Leader Card / Color: (空) → Red / Power: (空) → 5000
8,92255715,PSA 10 One Piece TCG Wings of the Captain #118 Roronoa Zoro Alternate Art,PSA 10 One Piece TCG Wings of the Captain #118 Roronoa Zoro Alternate Art,Character: Roronoa Zoro Alternate Art → Roronoa Zoro / Rarity: Alternate Art → Secret Rare / Features: Alternate Art → Secret Rare
9,114274962,PSA 10 One Piece TCG Two Legends #007 Jewelry Bonney Special Alternate Art,PSA 10 One Piece TCG Two Legends #007 Jewelry Bonney Special Alternate Art,Character: Jewelry Bonney Special Alternate Art → Jewelry Bonney / Rarity: Special Alternate Art → Common / Features: Special Alternate Art → Common / Color: Red → Green
10,140140120,PSA 10 One Piece TCG Promos #041 Monkey D. Luffy Bandai Card Game Fest,PSA 10 One Piece TCG Promo Cards #041 Monkey D. Luffy Bandai Card Game Fest,Set: Promos → Promo Cards / Card Type: Leader Card → Character Card / Character: Monkey D. Luffy Bandai Card Game Fest → Monkey D. Luffy / Rarity: (空) → Promo / Features: (空) → Promo / Color: Red → Purple / Cost: (空) → 10
