source,title,price_usd,currency,condition,item_id,seller,location,url,sold_date
active,Swatch x Omega MoonSwatch Mission to Earthphase Moonshine Gold Snoopy Watch,963.0,USD,Pre-owned - Good,v1|128084745902|0,valcera,JP,https://www.ebay.com/itm/128084745902?_skw=moonswatch+earthphase&hash=item1dd2721eae:g:gmEAAeSwJYxqrELo,
active,Swatch x Omega MoonSwatch Snoopy Earthphase Navy Bioceramic Mooshine Gold N Mint,882.99,USD,Pre-owned - Excellent,v1|358373316379|0,st_store_tokyo,JP,https://www.ebay.com/itm/358373316379?_skw=moonswatch+earthphase&hash=item5370b6d71b:g:DUgAAeSwplVqL5FT,
active,Omega x Swatch BIOCERAMIC MoonSwatch Mission to Earthphase SO33M700 Gray Japan,749.49,USD,New with box and papers,v1|336129792945|0,yamakenya2022,JP,https://www.ebay.com/itm/336129792945?_skw=moonswatch+earthphase&hash=item4e42e59bb1:g:hqEAAeSwROFqJ3e3,
active,Mint Omega X Swatch Mission Earthphase Moonswatch w/ Box Manual Auth Japan,771.99,USD,Pre-owned - Good,v1|128028432689|0,japan.brand.chuchan88,JP,https://www.ebay.com/itm/128028432689?_skw=moonswatch+earthphase&hash=item1dcf16d931:g:uqQAAeSwsqlqgMwB,
active,Omega x Swatch MoonSwatch Earthphase Chronograph Bio-Ceramic Watch,896.33,USD,Pre-owned - Good,v1|407188100804|0,hotstagejapan,JP,https://www.ebay.com/itm/407188100804?_skw=moonswatch+earthphase&hash=item5ece4d56c4:g:83YAAeSwJmhqmEbY,
active,SWATCH OMEGA Moonswatch Earthphase 30m 42mm Ceramic Watch Unisex,845.0,USD,New without box or papers,v1|318872739408|0,dafu1987,JP,https://www.ebay.com/itm/318872739408?_skw=moonswatch+earthphase&hash=item4a3e4bde50:g:gBEAAeSwDaxqqNP9,
active,SWATCH OMEGA MOONSWATCH MISSION TO EARTHPHASE S033M700 30m 42mm Ceramic Watch,810.0,USD,Pre-owned - Good,v1|318872739312|0,dafu1987,JP,https://www.ebay.com/itm/318872739312?_skw=moonswatch+earthphase&hash=item4a3e4bddf0:g:itwAAeSwl9hqqNP7,
active,swatch Moonswatch Earthphase Mission Earth Watch w/ Box Warranty Auth Japan,648.57,USD,Pre-owned - Good,v1|128028378311|0,japan.brand.chuchan88,JP,https://www.ebay.com/itm/128028378311?_skw=moonswatch+earthphase&hash=item1dcf1604c7:g:zuMAAeSwRT9qgLwu,
active,Swatch Moonswatch Mission to Earthphase S033M700 Quartz Gray Black,616.43,USD,Pre-owned - Good,v1|178497173086|0,hokkaido-japan-island,JP,https://www.ebay.com/itm/178497173086?_skw=moonswatch+earthphase&hash=item298f42b65e:g:lUUAAeSw4jxqqIpl,
active,Swatch x Omega Moonswatch Mission To Earthphase SO33M700 Black Gray New,654.07,USD,New with box and papers,v1|296862835536|0,raijapan,JP,https://www.ebay.com/itm/296862835536?_skw=moonswatch+earthphase&hash=item451e676350:g:wBAAAOSwM8VnUxYh,
active,OMEGAxSwatch moonswatch EARTHPHASE,602.89,USD,Pre-owned - Good,v1|398395468126|0,politestar_japan,JP,https://www.ebay.com/itm/398395468126?_skw=moonswatch+earthphase&hash=item5cc238695e:g:63UAAeSwcBxqqJ3r,
active,Omega ×Swatch Earthphase MoonSwatch,583.0,USD,Pre-owned - Good,v1|278392299390|0,japan_premium_vintage,JP,https://www.ebay.com/itm/278392299390?_skw=moonswatch+earthphase&hash=item40d1795f7e:g:SewAAeSwRrRqr7IV,
active,OMEGA × Swatch BIOCERAMIC MoonSwatch Mission to Earthphase SO33M700,696.32,USD,New with box and papers,v1|316674544488|0,yumara13,JP,https://www.ebay.com/itm/316674544488?_skw=moonswatch+earthphase&hash=item49bb461368:g:IFMAAeSwRqFolfLH,
active,Omega x Swatch Speedmaster MoonSwatch Mission to Earthphase SO33M700 #M-8500,528.57,USD,Pre-owned - Good,v1|366643405919|0,takumijapancollection,JP,https://www.ebay.com/itm/366643405919?_skw=moonswatch+earthphase&hash=item555da6645f:g:JwcAAeSw6wNql5ku,
active,OMEGA Swatch MoonSwatch MISSION TO EARTHPHASE From Japam,597.63,USD,Pre-owned - Good,v1|820044379222|0,smjapan,JP,https://www.ebay.com/itm/820044379222?_skw=moonswatch+earthphase&hash=itembeee743456:g:HaUAAeSwJm1qjSdz,
active,OMEGA × Swatch MoonSwatch Earthphase,503.35,USD,Pre-owned - Good,v1|178464664875|0,high-end_tokyo,JP,https://www.ebay.com/itm/178464664875?_skw=moonswatch+earthphase&hash=item298d52ad2b:g:qrcAAeSwkhFqmZWV,
active,Swatch x Omega MoonSwatch Mission to Earthphase SO33M700 42mm New Full Set,490.0,USD,New with box and papers,v1|188636738178|0,tokyowatchstudio,JP,https://www.ebay.com/itm/188636738178?_skw=moonswatch+earthphase&hash=item2beba03282:g:lRgAAeSwh0NqVZIn,
active,Swatch x Omega Moonswatch Mission To Earthphase SO33M700 Black Gray New,478.97,USD,New with box and papers,v1|277091890785|0,ururu2019,JP,https://www.ebay.com/itm/277091890785?_skw=moonswatch+earthphase&hash=item4083f6b661:g:W7gAAOSwbHFoFs5q,
active,[TOP MINT w/Box] Omega x Swatch Moonswatch Mission To The Earthphase Gray JAPAN,419.99,USD,Pre-owned - Good,v1|168680576605|0,japan_watch_gallery,JP,https://www.ebay.com/itm/168680576605?_skw=moonswatch+earthphase&hash=item274625565d:g:ghkAAeSwfu9pMnAm,
active,Swatch x Omega Moonswatch Mission To Earthphase SO33M700 Black Gray New,485.0,USD,New with box and papers,v1|267687244818|0,kaokao0120,JP,https://www.ebay.com/itm/267687244818?_skw=moonswatch+earthphase&hash=item3e53673412:g:nMIAAeSw54xqHjiA,
active,Swatch Moonswatch Mission to Earthphase S033M700 Quartz Grey Black,608.28,USD,Gebraucht - Gut,v1|178497377452|0,hokkaido-japan-island,JP,https://www.ebay.com/itm/178497377452?_skw=moonswatch+earthphase&hash=item298f45d4ac:g:KdMAAeSwnJNqqKGY,
